Name,Year,Please,Type,Mass,Location,Notes
Olmedilla de AlarcÑn,1929,"Castilla-La Mancha, Spain",H5,40 kg,"(39.566670, -2.100000)ææ",
Omolonæ**,1981,"Magadanskaya oblast', Russia","Pallasite, PMG",250 kg,"(64.020000, 161.808330)ææ",
Orange River (stone),1887,"Northern Cape, South Africa",Doubtful OC,8 g,"(-29.666670, 24.216670)ææ",
Orebro,1958,"Orebro, Sweden",Pseudometeorite,8 kg,"(59.283330, 15.216670)ææ",
Orgueil,1864,"Midi-Pyrenees, France",CI1,14 kg,"(43.883330, 1.383330)ææ",
Oriang,1825,"Rajasthan, India",Doubtful meteorite,,"(24.000000, 76.000000)ææ",
Orlandoæ**,2004,"Florida, USA",Eucrite,180 g,"(28.547500, -81.362220)ææ",
Ornans,1868,"Franche-Comte, France",CO3.4,6 kg,"(47.116670, 6.150000)ææ",
Ortenau,1671,"Baden-Wurttemberg, Germany",Stone-uncl,4.5 kg,"(48.500000, 8.000000)ææ",
Orvinio,1872,"Lazio, Italy",H6,3.4 kg,"(42.133330, 12.933330)ææ",
OterÀy,1928,"Telemark, Norway",L6,246 g,"(58.883330, 9.400000)ææ",
Otomi,1867,"Tohoku, Japan",H,6.51 kg,"(38.400000, 140.350000)ææ",
Ottawa,1896,"Kansas, USA",LL6,840 g,"(38.600000, -95.216670)ææ",
Ouadangouæ**,2003,"Gnagna, Burkina Faso",L5,4.44 kg,"(12.900000, 0.080000)ææ",
Oued el Hadjaræ**,1986,"Guelmim-Es-Semara, Morocco",LL6,1216 g,"(30.180000, -6.577170)ææ",
Oum Dreygaæ**,2003,"Rio de Oro, Western Sahara",H3-5,17 kg,"(24.300000, -13.100000)ææ",
Ouriqueæ**,1998,"Beja, Portugal",H4,20 kg,"(37.608330, -8.280000)ææ",
Ovamboæ**,1900,"Owambo, Namibia",L6,121.5 g,"(-18.000000, 16.000000)ææ",
Oviedo,1856,"Asturias, Spain",H5,205 g,"(43.400000, -5.866670)ææ",
Owrucz,1775,"Zhitomir, Ukraine",OC,,"(51.333330, 28.833330)ææ",
Pacula,1881,"Hidalgo, Mexico",L6,3.4 kg,"(21.050000, -99.300000)ææ",
Padvarninkai,1929,Lithuania,Eucrite-mmict,3.86 kg,"(55.666670, 25.000000)ææ",
Paint Creek,1868,"Ohio, USA",Doubtful Iron,9.3 kg,"(40.500000, -82.000000)ææ",
Paitanæ**,1910,"Ilocos, Philippines",H6,515 g,"(17.743330, 120.455830)ææ",
Palahatchie,1910,"Mississippi, USA",OC,,"(32.316670, -89.716670)ææ",
Palca de Aparzoæ**,1988,"Jujuy, Argentina",L5,1430 g,"(-23.116670, -65.100000)ææ",
Palenca de Baixo,1894,"Lisboa, Portugal",Doubtful stone,,"(39.000000, -9.000000)ææ",
Palinshihæ**,1914,"Nei Mongol, China",Iron,18 kg,"(43.483330, 118.616670)ææ",
Palmyraæ**,1926,"Missouri, USA",L3,135 g,"(39.800000, -91.500000)ææ",
Palolo Valleyæ**,1949,"Hawaii, USA",H5,682 g,"(21.300000, -157.783330)ææ",
Pampanga,1859,"Central Luzon, Philippines",L5,10.5 kg,"(15.083330, 120.700000)ææ",
Pantar,1938,"Central Mindanao, Philippines",H5,2.13 kg,"(8.066670, 124.283330)ææ",
Paragould,1930,"Arkansas, USA",LL5,408 kg,"(36.066670, -90.500000)ææ",
Parambuæ**,1967,"Ceara, Brazil",LL5,2 kg,"(-6.233330, -40.700000)ææ",
Paranaiba,1956,"Mato Grosso do Sul, Brazil",L6,100 kg,"(-19.133330, -51.666670)ææ",
Park Forestæ**,2003,"Illinois, USA",L5,18 kg,"(41.484720, -87.679170)ææ",
Parnallee,1857,"Tamil Nadu, India",LL3.6,77.6 kg,"(9.233330, 78.350000)ææ",
Parsaæ**,1942,"Bihar, India",EH3,800 g,"(26.200000, 85.400000)ææ",
Pasamonte,1933,"New Mexico, USA",Eucrite-pmict,5.1 kg,"(36.216670, -103.400000)ææ",
Patoraæ**,1969,"Madhya Pradesh, India",H6,4.38 kg,"(20.936940, 82.050000)ææ",
Patrimonioæ**,1950,"Minas Gerais, Brazil",L6,2.12 kg,"(-19.533330, -48.566670)ææ",
Patti,1922,"Sicilia, Italy",Iron,12 g,"(38.133330, 14.966670)ææ",
Patwar,1935,"Chittagong, Bangladesh",Mesosiderite-A1,37.35 kg,"(23.150000, 91.183330)ææ",
Pavelæ**,1966,"Lovech, Bulgaria",H5,2.97 kg,"(43.466670, 25.516670)ææ",
Pavlodar (stone),1938,"Pavlodar, Kazakhstan",H5,142.5 g,"(52.300000, 77.033330)ææ",
Pavlograd,1826,"Dnepropetrovsk, Ukraine",L6,40 kg,"(48.533330, 35.983330)ææ",
Pavlovka,1882,"Saratovskaya oblast', Russia",Howardite,2 kg,"(52.033330, 43.000000)ææ",
Pæ**,1989,"Houet, Burkina Faso",L6,,"(11.333670, -3.542170)ææ",
Peace Riveræ**,1963,"Alberta, Canada",L6,45.76 kg,"(56.133330, -117.933330)ææ",
Peckelsheimæ**,1953,"Nordrhein-Westfalen, Germany",Diogenite-pm,117.8 g,"(51.666670, 9.250000)ææ",
Peekskillæ**,1992,"New York, USA",H6,12.57 kg,"(41.283330, -73.916670)ææ",
PeĞa Blanca Spring,1946,"Texas, USA",Aubrite,70 kg,"(30.125000, -103.116670)ææ",
Pentolina,1697,"Toscana, Italy",Doubtful stone,,"(43.200000, 11.166670)ææ",
Peramiho,1899,"Ruvuma, Tanzania",Eucrite-mmict,165 g,"(-10.666670, 35.500000)ææ",
Perpeti,1935,"Chittagong, Bangladesh",L6,23.47 kg,"(23.325000, 91.000000)ææ",
Perth,1830,"Scotland, UK",LL5,2 g,"(56.400000, -3.433330)ææ",
Pervomaisky,1933,"Vladimirskaya oblast', Russia",L6,66 kg,"(56.633330, 39.433330)ææ",
Pesyanoeæ**,1933,"Kurganskaya oblast', Russia",Aubrite,3.39 kg,"(55.500000, 66.083330)ææ",
P_tlkol_æ**,1995,"Niamey, Niger",H5,189 g,"(14.052000, 0.420000)ææ",
Petersburg,1855,"Tennessee, USA",Eucrite-pmict,1800 g,"(35.300000, -86.633330)ææ",
Pettiswood,1779,"Leinster, Ireland",Stone-uncl,,"(53.533330, -7.333330)ææ",
Pfullingen,1904,"Baden-Wurttemberg, Germany",Doubtful Iron,7.5 kg,"(48.466670, 9.216670)ææ",
Phillips County (stone)**,1901,"Kansas, USA",L6,57.9 kg,"(40.000000, -99.250000)ææ",
Phu Hong,1887,"Binh Thuan, Vietnam",H4,500 g,"(11.250000, 108.583330)ææ",
Phum Sambo,1933,"Kampong Cham, Cambodia",H4,7.8 kg,"(12.000000, 105.483330)ææ",
Phuoc-Binhæ**,1941,"Quang Nam-Da Nang, Vietnam",L5,11 kg,"(15.716670, 108.100000)ææ",
Piancaldoliæ**,1968,"Emilia-Romagna, Italy",LL3.4,13.1 g,"(44.244170, 11.502220)ææ",
Picote,1843,"Braganca, Portugal",Stone-uncl,,"(41.366670, -6.233330)ææ",
Piedmont,1583,"Piemonte, Italy",Doubtful meteorite,,"(44.916670, 8.000000)ææ",
Pillistfer,1863,Estonia,EL6,23.25 kg,"(58.666670, 25.733330)ææ",
Piplia Kalanæ**,1996,"Rajasthan, India",Eucrite-mmict,42 kg,"(26.034720, 73.941670)ææ",
Piquetberg,1881,"Western Cape, South Africa",H,37 g,"(-32.866670, 18.716670)ææ",
Pirgunje,1882,"Rajshahi, Bangladesh",L6,842 g,"(25.800000, 88.450000)ææ",
Pirthalla,1884,"Haryana, India",H6,1161 g,"(29.583330, 76.000000)ææ",
Pitts,1921,"Georgia, USA","Iron, IAB-ung",3.76 kg,"(31.950000, -83.516670)ææ",
Plantersville,1930,"Texas, USA",H6,2.09 kg,"(30.700000, -96.116670)ææ",
Ple_coiæ**,2008,"Buzau, Romania",L5-6,6.91 kg,"(45.275000, 26.709720)ææ",
Ploschkovitz,1723,"˜steck_, Czech Republic",L5,39 g,"(50.533330, 14.116670)ææ",
Pnompehn,1868,"Phnum Penh, Cambodia",L6,96 g,"(11.583330, 104.916670)ææ",
Po-wang Chenæ**,1933,"Anhui, China",LL,665 g,"(31.416670, 118.500000)ææ",
Pohlitz,1819,"Sachsen-Anhalt, Germany",L5,3 kg,"(50.933330, 12.133330)ææ",
Pokhra,1866,"Uttar Pradesh, India",H5,350 g,"(26.716670, 82.666670)ææ",
P_lau,1647,"Sachsen, Germany",Doubtful meteorite,,"(50.716670, 12.483330)ææ",
Pollen,1942,"Nordland, Norway",CM2,254 g,"(66.348330, 14.015000)ææ",
Ponta Grossa,1846,"Parana, Brazil",Doubtful stone,667 g,"(-25.083330, -50.150000)ææ",
Pontlyfni,1931,"Wales, UK",Winonaite,157 g,"(53.036390, -4.319440)ææ",
Porangabaæ**,2015,"Sao Paulo, Brazil",L4,976 g,"(-23.160000, -48.181110)ææ",
Portales Valleyæ**,1998,"New Mexico, USA",H6,71.4 kg,"(34.175000, -103.295000)ææ",
Portugal,1796,"Evora, Portugal",Stone-uncl,4.5 kg,"(38.500000, -8.000000)ææ",
Prambachkirchen,1932,"Oberosterreich, Austria",L6,2.13 kg,"(48.302500, 13.940830)ææ",
Pribramæ**,1959,"Stredocesky, Czech Republic",H5,5.56 kg,"(49.666670, 14.033330)ææ",
Pricetown,1893,"Ohio, USA",L6,900 g,"(39.116670, -83.850000)ææ",
Prince of Wales's Straits,1850,"Northwest Territories, Canada",Doubtful meteorite,,"(73.500000, -115.000000)ææ",
Puerto Làpiceæ**,2007,"Castilla-La Mancha, Spain",Eucrite-br,500 g,"(39.350000, -3.516670)ææ",
Pulrose,1813,Isle of Man,Doubtful meteorite,,"(54.250000, -4.500000)ææ",
Pulsora,1863,"Madhya Pradesh, India",H5,560 g,"(23.366670, 75.183330)ææ",
Pultusk,1868,"Ostroleka, Poland",H5,250 kg,"(52.766670, 21.266670)ææ",
Punganaru,1811,"Andhra Pradesh, India",Stone-uncl,100 g,"(13.333330, 78.950000)ææ",
Putinga,1937,"Rio Grande do Sul, Brazil",L6,300 kg,"(-29.033330, -53.050000)ææ",
Qidongæ**,1982,"Jiangsu, China",L/LL5,1275 g,"(32.083330, 121.500000)ææ",
Qingzhenæ**,1976,"Guizhou, China",EH3,2.6 kg,"(26.533330, 106.466670)ææ",
Quedlinburg,1249,"Sachsen-Anhalt, Germany",Doubtful meteorite,,"(51.783330, 11.133330)ææ",
Queen's Mercy,1925,"Eastern Cape, South Africa",H6,7 kg,"(-30.116670, 28.700000)ææ",
Quenggouk,1857,"Irrawaddy, Burma",H4,6.05 kg,"(17.766670, 95.183330)ææ",
Quesa,1898,"Valenciana, Spain","Iron, IAB-ung",10.75 kg,"(39.000000, -0.666670)ææ",
Quijaæ**,1990,"Jilin, China",H,17.45 kg,"(44.616670, 126.133330)ææ",
Quincay,1851,"Poitou-Charentes, France",L6,65 g,"(46.600000, 0.250000)ææ",
Racoæ**,1957,"Tucuman, Argentina",H5,5 kg,"(-26.666670, -65.450000)ææ",
Raghunathpuraæ**,1986,"Rajasthan, India","Iron, IIAB",10.2 kg,"(27.725280, 76.465000)ææ",
Rahimyar Khanæ**,1983,"Punjab, Pakistan",L5,67.23 kg,"(28.225000, 70.200000)ææ",
Rakovka,1878,"Orlovskaya oblast', Russia",L6,9 kg,"(52.983330, 37.033330)ææ",
Ramnagar,1940,"Uttar Pradesh, India",L6,3.77 kg,"(26.450000, 82.900000)ææ",
Rampurhat,1916,"West Bengal, India",LL,100 g,"(24.166670, 87.766670)ææ",
Ramsdorfæ**,1958,"Nordrhein-Westfalen, Germany",L6,4.68 kg,"(51.883330, 6.933330)ææ",
Ranchapur,1917,"Bihar, India",H4,290 g,"(23.983330, 87.083330)ææ",
Rancho de la Presa,1899,"Michoacan, Mexico",H5,300 g,"(19.866670, -100.816670)ææ",
Rangala,1937,"Rajasthan, India",L6,3.22 kg,"(25.383330, 72.016670)ææ",
Raoyangæ**,1919,"Hebei, China",L6,4.91 kg,"(38.200000, 115.700000)ææ",
Ras Tanuraæ**,1961,"Ash Sharqiyah, Saudi Arabia",H6,6.1 g,"(26.666670, 50.150000)ææ",
Rasgrad,1740,"Razgrad, Bulgaria",Stone-uncl,24.7 kg,"(43.500000, 26.533330)ææ",
Ratynæ**,1880,"Konin, Poland",Stone-uncl,910 g,"(52.200000, 17.983330)ææ",
Red Canyon Lake**,2007,"California, USA",H5,18.4 g,"(38.137420, -119.758120)ææ",
Reliegos,1947,"Castilla y Leon, Spain",L5,17.3 kg,"(42.475000, -5.333330)ææ",
Rembang,1919,"Jawa Tengah, Indonesia","Iron, IVA",10 kg,"(-6.733330, 111.366670)ææ",
Renazzo,1824,"Emilia-Romagna, Italy",CR2,1000 g,"(44.766670, 11.283330)ææ",
Renca,1925,"San Luis, Argentina",L5,300 g,"(-32.750000, -65.283330)ææ",
Renqiuæ**,1916,"Hebei, China",L6,355 g,"(38.666670, 116.133330)ææ",
Repeev Khutor,1933,"Astrakhanskaya oblast', Russia","Iron, IIF",7 kg,"(48.600000, 45.666670)ææ",
Revelstokeæ**,1965,"British Columbia, Canada",CI1,1 g,"(51.333330, -118.950000)ææ",
Rewariæ**,1929,"Haryana, India",L6,3.33 kg,"(28.200000, 76.666670)ææ",
Rich Mountain,1903,"North Carolina, USA",L6,668 g,"(35.033330, -83.033330)ææ",
Richardton,1918,"North Dakota, USA",H5,90 kg,"(46.883330, -102.316670)ææ",
Richland Springsæ**,1980,"Texas, USA",OC,1900 g,"(31.250000, -99.033330)ææ",
Richmond,1828,"Virginia, USA",LL5,1800 g,"(37.466670, -77.500000)ææ",
Rio Mocoreta,1844,"Corrientes, Argentina",Doubtful meteorite,,"(-30.616670, -57.966670)ææ",
Rio Negro,1934,"Parana, Brazil",L4,1310 g,"(-26.100000, -49.800000)ææ",
Rivolta de Bassi,1491,"Lombardia, Italy",Stone-uncl,103.3 g,"(45.483330, 9.516670)ææ",
Roa,1438,"Castilla y Leon, Spain",Doubtful stone,,"(41.733330, -3.933330)ææ",
Rochester,1876,"Indiana, USA",H6,340 g,"(41.083330, -86.283330)ææ",
Rockhampton,1895,"Queensland, Australia",Stone-uncl,1641 g,"(-23.383330, 150.516670)ææ",
Roda,1871,"Aragon, Spain",Diogenite,400 g,"(42.300000, 0.550000)ææ",
Rodach,1775,"Bayern, Germany",Stone-uncl,2.9 kg,"(50.350000, 10.800000)ææ",
Rose City,1921,"Michigan, USA",H5,10.6 kg,"(44.516670, -83.950000)ææ",
Rowton,1876,"England, UK","Iron, IIIAB",3.5 kg,"(52.766670, -2.516670)ææ",
Ruhoboboæ**,1976,"Ruhengeri, Rwanda",L6,466 g,"(-1.450000, 29.833330)ææ",
Rumurutiæ**,1934,"Rift Valley, Kenya",R3.8-6,67 g,"(0.266670, 36.533330)ææ",
Rupota,1949,"Lindi, Tanzania",L4-6,6 kg,"(-10.266670, 38.766670)ææ",
Ruschanyæ**,1894,"Brest, Belarus",Doubtful meteorite,6 kg,"(52.883330, 24.883330)ææ",
Ryechki,1914,"Sumy, Ukraine",L5,13 kg,"(51.133330, 34.500000)ææ",
Sabetmahet,1855,"Uttar Pradesh, India",H5,1250 g,"(27.433330, 82.083330)ææ",
Sabrumæ**,1999,"Tripura, India",LL6,478 g,"(23.083330, 91.666670)ææ",
Sagan,1636,"Zielona Gora, Poland",Stone-uncl,,"(51.533330, 14.883330)ææ",
St. Caprais-de-Quinsac,1883,"Aquitaine, France",L6,360 g,"(44.750000, 0.050000)ææ",
St.-Chinianæ**,1959,"Languedoc-Roussillon, France",L6,134.3 g,"(43.433330, 2.950000)ææ",
St. Christophe-la-Chartreuse,1841,"Pays de la Loire, France",L6,5.5 kg,"(46.950000, -1.500000)ææ",
St. Denis Westrem,1855,"Oost-Vlaanderen, Belgium",L6,700 g,"(51.050000, 3.750000)ææ",
St. Germain-du-Pinel,1890,"Bretagne, France",H6,4 kg,"(48.016670, -1.150000)ææ",
St. Louisæ**,1950,"Missouri, USA",H4,1000 g,"(38.700000, -90.233330)ææ",
St. Mark's,1903,"Eastern Cape, South Africa",EH5,13.78 kg,"(-32.016670, 27.416670)ææ",
St. Mary's County,1919,"Maryland, USA",LL3.3,24.3 g,"(38.166670, -76.383330)ææ",
St. Mesmin,1866,"Champagne-Ardenne, France",LL6,8.3 kg,"(48.450000, 3.933330)ææ",
St. Michel,1910,"Mikkeli, Finland",L6,17 kg,"(61.650000, 27.200000)ææ",
Saint-Sauveur,1914,"Midi-Pyrenees, France",EH5,14 kg,"(43.733330, 1.383330)ææ",
Ste. Margueriteæ**,1962,"Nord-Pas-de-Calais, France",H4,4.96 kg,"(50.766670, 3.000000)ææ",
Sakauchi,1913,"Chubu, Japan",Iron,4.18 kg,"(35.666670, 136.300000)ææ",
Sakurayama,1935,"Chubu, Japan",Doubtful Iron,0.8 g,"(35.166670, 136.916670)ææ",
Salemæ**,1981,"Oregon, USA",L6,61.4 g,"(44.979170, -122.969440)ææ",
Salles,1798,"Rhone-Alpes, France",L5,9 kg,"(46.050000, 4.633330)ææ",
Salzwedelæ**,1985,"Sachsen-Anhalt, Germany",LL5,43 g,"(52.750000, 11.050000)ææ",
Samelia,1921,"Rajasthan, India","Iron, IIIAB",2.46 kg,"(25.666670, 74.866670)ææ",
San Cerre de Mallorca,1958,"Isles Baleares, Spain",Doubtful meteorite,3.6 kg,"(39.583330, 2.650000)ææ",
San Juan Capistranoæ**,1973,"California, USA",H6,56 g,"(33.484720, -117.662500)ææ",
San Micheleæ**,2002,"Marche, Italy",L6,237 g,"(43.666670, 13.000000)ææ",
San Pedro de Quilesæ**,1956,"Coquimbo, Chile",L6,282 g,"(-31.016670, -71.400000)ææ",
San Pedro Jacuaroæ**,1968,"Michoacan, Mexico",LL6,460 g,"(19.766670, -100.650000)ææ",
Santa Barbara,1873,"Rio Grande do Sul, Brazil",L4,400 g,"(-29.200000, -51.866670)ææ",
Santa Cruz,1939,"Tamaulipas, Mexico",CM2,60 g,"(24.166670, -99.333330)ææ",
Santa Isabel,1924,"Santa Fe, Argentina",L6,5.5 kg,"(-33.900000, -61.700000)ææ",
Santa Lucia (2008)æ**,2008,"San Juan, Argentina",L6,4 kg,"(-31.535556, -68.489444)ææ",
SÜo Jose do Rio Preto,1962,"Sao Paulo, Brazil",H4,927 g,"(-20.810000, -49.380560)ææ",
Saratov,1918,"Saratovskaya oblast', Russia",L4,200 kg,"(52.550000, 46.550000)ææ",
Sasagaseæ**,1704,"Chubu, Japan",H,695 g,"(34.716670, 137.783330)ææ",
Sauguis,1868,"Aquitaine, France",L6,4 kg,"(43.150000, -0.850000)ææ",
Savtschenskoje,1894,"Odessa, Ukraine",LL4,2.5 kg,"(47.216670, 29.866670)ææ",
Sayamaæ**,1986,"Kanto, Japan",CM2,430 g,"(35.866670, 139.400000)ææ",
Sazovice,1934,"ZlÕnsk_, Czech Republic",L5,412 g,"(49.233330, 17.566670)ææ",
Schellin,1715,"Szczecin, Poland",L,7 kg,"(53.350000, 15.050000)ææ",
Schenectadyæ**,1968,"New York, USA",H5,283 g,"(42.860830, -73.950280)ææ",
Schleusingen,1552,"Thuringen, Germany",Doubtful stone,,"(50.516670, 10.766670)ææ",
Sch_nenbergæ**,1846,"Bayern, Germany",L6,8 kg,"(48.350000, 10.400000)ææ",
Searsmont,1871,"Maine, USA",H5,5.4 kg,"(44.366670, -69.200000)ææ",
Sedik_y,1917,"Izmir, Turkey",L6,240 g,"(38.300000, 27.133330)ææ",
Segowlie,1853,"Bihar, India",LL6,6.93 kg,"(26.750000, 84.783330)ææ",
Selakopi,1939,"Jawa Barat, Indonesia",H5,1590 g,"(-7.233330, 107.333330)ææ",
Seldebourak,1947,"Tamanghasset, Algeria",H5,150 g,"(22.833330, 4.983330)ææ",
Semarkona,1940,"Madhya Pradesh, India",LL3.00,691 g,"(22.250000, 79.000000)ææ",
Sena,1773,"Aragon, Spain",H4,4 kg,"(41.716670, -0.050000)ææ",
Senbokuæ**,1993,"Tohoku, Japan",H6,866 g,"(39.438330, 140.511670)ææ",
Seoniæ**,1966,"Maharashtra, India",H6,20 kg,"(21.683890, 79.500830)ææ",
Seres,1818,"Macedonia, Greece",H4,8.5 kg,"(41.050000, 23.566670)ææ",
Serra de Mag_,1923,"Pernambuco, Brazil",Eucrite-cm,1800 g,"(-8.383330, -36.766670)ææ",
Sete Lagoas,1908,"Minas Gerais, Brazil",H4,350 g,"(-19.466670, -44.216670)ææ",
Sevilla,1862,"Andalucia, Spain",LL4,180 g,"(37.416670, -6.000000)ææ",
Sevrukovo,1874,"Belgorodskaya oblast', Russia",L5,101 kg,"(50.616670, 36.600000)ææ",
Sfaxæ**,1989,"Safaqis, Tunisia",L6,7 kg,"(34.750000, 10.716670)ææ",
Shalka,1850,"West Bengal, India",Diogenite,4 kg,"(23.100000, 87.300000)ææ",
Sharps,1921,"Virginia, USA",H3.4,1265 g,"(37.833330, -76.700000)ææ",
Shelburne,1904,"Ontario, Canada",L5,18.6 kg,"(44.050000, -80.166670)ææ",
Shergotty,1865,"Bihar, India",Martian (shergottite),5 kg,"(24.550000, 84.833330)ææ",
Sheyangæ**,1976,"Jiangsu, China",L6,605 g,"(33.650000, 120.066670)ææ",
Shikarpur,1921,"Bihar, India",L6,3.68 kg,"(25.850000, 87.577500)ææ",
Shuangyang,1971,"Jilin, China",H5,3.9 kg,"(43.500000, 125.666670)ææ",
Shupiyan,1912,"Jammu & Kashmir, India",H6,5 kg,"(33.716670, 74.833330)ææ",
Shytal,1863,"Dhaka, Bangladesh",L6,3.2 kg,"(24.333330, 90.166670)ææ",
Siena,1794,"Toscana, Italy",LL5,3.7 kg,"(43.116670, 11.600000)ææ",
Sikhote-Alin,1947,"Primorskiy kray, Russia","Iron, IIAB",23 t,"(46.160000, 134.653330)ææ",
Sikhote Alin [crater]æ**,fell 1947,"Primorskiy kray, Russia",Impact Crater,,"(46.116670, 134.666670)ææ",From Earth Impact Databaseæ
Silaoæ**,1995,"Guanajuato, Mexico",H5,1710 g,"(20.933330, -101.383330)ææ",
Silistraæ**,1917,"Razgrad, Bulgaria",Achondrite-ung,0.15 g,"(44.116670, 27.266670)ææ",
Simmern,1920,"Rheinland-Pfalz, Germany",H5,1222 g,"(49.983330, 7.533330)ææ",
Simonod,1835,"Rhone-Alpes, France",Doubtful chondrite,1100 g,"(46.083330, 5.333330)ææ",
Sinai,1916,"Al Isma'iliyah, Egypt",L6,1455 g,"(30.900000, 32.483330)ææ",
Sindhri,1901,"Sind, Pakistan",H5,8.4 kg,"(26.216670, 69.550000)ææ",
Sinnaiæ**,1956,"Sardegna, Italy",H6,2 kg,"(39.300000, 9.200000)ææ",
Sioux County,1933,"Nebraska, USA",Eucrite-mmict,4.1 kg,"(42.583330, -103.666670)ææ",
Sitathali,1875,"Madhya Pradesh, India",H5,1600 g,"(20.916670, 82.583330)ææ",
Sivasæ**,1989,"Yozgat, Turkey",H6,40 kg,"(39.824670, 36.135830)ææ",
Sixiangkouæ**,1989,"Jiangsu, China",L5,630 g,"(32.433330, 119.866670)ææ",
SkÎne-TranÎs,1922,"Jonkopings, Sweden",Doubtful meteorite,,"(58.000000, 15.000000)ææ",
Ski,1848,"Akershus, Norway",L6,850 g,"(59.733330, 10.866670)ææ",
Slavetic,1868,Croatia,H5,1708 g,"(45.683330, 15.600000)ææ",
Slobodkaæ**,1818,"Smolenskaya oblast', Russia",L4,2.75 kg,"(55.000000, 35.000000)ææ",
Soheria,1960,"Bihar, India",OC,72.9 g,"(27.133330, 84.066670)ææ",
Soko-Banja,1877,"Serbia, Serbia and Montenegro",LL4,80 kg,"(43.666670, 21.866670)ææ",
Sologneæ**,1860,"Centre, France",H5,54 g,"(47.366670, 1.733330)ææ",
So_tmanyæ**,2011,"Suwalki, Poland",L6,1066 g,"(54.008830, 22.005000)ææ",
Sone,1866,"Kinki, Japan",H5,17.1 kg,"(35.166670, 135.333330)ææ",
Songyuanæ**,1993,"Jilin, China",L6,36.9 kg,"(45.250000, 125.000000)ææ",
Sopot,1927,"Dolj, Romania",OC,958 g,"(44.416670, 23.500000)ææ",
Sorotiæ**,1945,"Eastern, Uganda","Iron, ungrouped",2.05 kg,"(1.700000, 33.633330)ææ",
Sotik,1946,Kenya,Doubtful meteorite,2.05 kg,,
Soweida,856,"As Suwayda', Syria",Doubtful meteorite,,"(32.716670, 36.566670)ææ",
St-Robertæ**,1994,"Quebec, Canada",H5,25.4 kg,"(45.968610, -72.978060)ææ",
Saint-S_verinæ**,1966,"Poitou-Charentes, France",LL6,271 kg,"(45.300000, 0.233330)ææ",
St_lldalen,1876,"Orebro, Sweden",H5,34 kg,"(59.933330, 14.950000)ææ",
Stannern,1808,"Vysocina, Czech Republic",Eucrite-mmict,52 kg,"(49.283330, 15.566670)ææ",
Stavropol,1857,"Stavropol'skiy kray, Russia",L6,1500 g,"(45.050000, 41.983330)ææ",
Steiermark,1618,"Steiermark, Austria",Doubtful meteorite,,"(47.000000, 15.000000)ææ",
Sterlitamakæ**,1990,"Respublika Bashkortostan, Russia","Iron, IIIAB",325 kg,"(53.666670, 55.983330)ææ",
Stolzenau,1647,"Niedersachsen, Germany",Stone-uncl,,"(52.533330, 9.050000)ææ",
Stratfordæ**,1974,"Connecticut, USA",L6,50 g,"(41.200000, -73.133330)ææ",
Strathmore,1917,"Scotland, UK",L6,13.4 kg,"(56.583330, -3.250000)ææ",
Stretchleigh,1623,"England, UK",Stone-uncl,10.4 kg,"(50.383330, -3.950000)ææ",
Successæ**,1924,"Arkansas, USA",L6,3.5 kg,"(36.483330, -90.666670)ææ",
Suchy Dulæ**,1969,"Kràlov_hradeck_, Czech Republic",L6,815 g,"(50.538060, 16.263330)ææ",
Suizhouæ**,1986,"Hubei, China",L6,260 kg,"(31.616670, 113.466670)ææ",
Sulagiriæ**,2008,"Tamil Nadu, India",LL6,110 kg,"(12.666670, 78.033330)ææ",
Sultanpur,1916,"Uttar Pradesh, India",L/LL6,1711 g,"(25.933330, 84.283330)ææ",
Sungach,1935,"Primorskiy kray, Russia",H5,637 g,"(44.866670, 133.166670)ææ",
Supuhee,1865,"Uttar Pradesh, India",H6,7.24 kg,"(26.716670, 84.216670)ææ",
Sutter's Millæ**,2012,"California, USA",C,993 g,"(38.803890, -120.908060)ææ",
Sylacaugaæ**,1954,"Alabama, USA",H4,5.56 kg,"(33.188360, -86.294500)ææ",
Taboræ**,1753,"Jihocesky, Czech Republic",H5,7.54 kg,"(49.400000, 14.650000)ææ",
Tadjera,1867,"Setif, Algeria",L5,9 kg,"(36.183330, 5.416670)ææ",
Tagish Lakeæ**,2000,"British Columbia, Canada",C2-ung,10 kg,"(59.704440, -134.201390)ææ",
Taharaæ**,1991,"Chubu, Japan",H4/5,1000 g,"(34.720000, 137.305000)ææ",
Takenouchi,1880,"Kinki, Japan",H5,720 g,"(35.383330, 134.900000)ææ",
Talampayaæ**,1995,Argentina,Eucrite-cm,1421 g,,
Tambakwatuæ**,1975,"Jawa Timur, Indonesia",L6,10.5 kg,"(-7.750000, 112.766670)ææ",
Tamdakhtæ**,2008,"Souss-Massa-Draä, Morocco",H5,100 kg,"(31.163330, -7.015000)ææ",
Tandil,1918,"Buenos Aires, Argentina",Pseudometeorite,980 g,"(-37.366670, -59.333330)ææ",
Tan_,1918,"Kinki, Japan",L5,905 g,"(35.433330, 136.233330)ææ",
Taonan,1965,"Jilin, China",L5,3.85 kg,"(45.400000, 122.900000)ææ",
Tatahouine,1931,"Tatawin, Tunisia",Diogenite,12 kg,"(32.950000, 10.416670)ææ",
Tathlithæ**,1967,"'Asir, Saudi Arabia",L6,2.5 kg,"(19.383330, 43.733330)ææ",
Tauk,1929,"Salah ad Din, Iraq",L6,6 kg,"(35.133330, 44.450000)ææ",
