Name,Year,Please,Type,Mass,Location,Notes
Cereseto,1840,"Piemonte, Italy",H5,6.46 kg,"(45.083330, 8.300000)ææ",
Chadongæ**,1998,"Hunan, China",L6,3.7 kg,"(28.533330, 109.316670)ææ",
Chail,1814,"Uttar Pradesh, India",H6,0.5 g,"(25.366670, 81.666670)ææ",
Chainpur,1907,"Uttar Pradesh, India",LL3.4,8.2 kg,"(25.850000, 83.483330)ææ",
Chajariæ**,1933,"Entre Rios, Argentina",L5,18.3 kg,"(-30.783330, -58.050000)ææ",
Chandakapur,1838,"Maharashtra, India",L5,8.8 kg,"(20.266670, 76.016670)ææ",
Chandpur,1885,"Uttar Pradesh, India",L6,1100 g,"(27.283330, 79.050000)ææ",
Changdeæ**,1977,"Hunan, China",H5,1810 g,"(29.083330, 111.750000)ææ",
Changxingæ**,1964,"Shanghai, China",H5,27.9 kg,"(31.425278, 121.679722)ææ",
Chantonnay,1812,"Centre, France",L6,31.5 kg,"(46.683330, 1.050000)ææ",
Charleroi,1634,"Hainaut, Belgium",Doubtful stone,,"(50.400000, 4.466670)ææ",
Charlotte,1835,"Tennessee, USA","Iron, IVA",4.3 kg,"(36.166670, -87.333330)ææ",
Charsonville,1810,"Centre, France",H6,27 kg,"(47.933330, 1.566670)ææ",
Charwallas,1834,"Haryana, India",H6,12 kg,"(29.483330, 75.500000)ææ",
Chassigny,1815,"Champagne-Ardenne, France",Martian (chassignite),4 kg,"(47.716670, 5.366670)ææ",
Chäteau-Renard,1841,"Centre, France",L6,30 kg,"(47.933330, 2.916670)ææ",
Chaves,1925,"Vila Real, Portugal",Howardite,2.95 kg,"(41.933330, -7.466670)ææ",
Chelaæ**,1988,"Shinyanga, Tanzania",H4,2.94 kg,"(-3.666670, 32.500000)ææ",
Chelyabinskæ**,2013,"Chelyabinskaya oblast', Russia",LL5,1 t,"(54.816670, 61.116670)ææ",
Chergachæ**,2007,"Tombouctou, Mali",H5,100 kg,"(23.696390, -5.014720)ææ",
Chernyi Boræ**,1964,"Mogilev, Belarus",H4,6 kg,"(53.700000, 30.100000)ææ",
Cherokee Springs,1933,"South Carolina, USA",LL6,8.4 kg,"(35.033330, -81.883330)ææ",
Chervettaz,1901,"Fribourg, Switzerland",L5,705 g,"(46.550000, 6.816670)ææ",
Chervony Kut,1939,"Sumy, Ukraine",Eucrite-mmict,1700 g,"(50.833330, 34.000000)ææ",
Chetrinahatti,1880,"Karnataka, India",Stone-uncl,72 g,"(14.500000, 76.500000)ææ",
Chiang Khanæ**,1981,"Loei, Thailand",H6,367 g,"(17.900000, 101.633330)ææ",
Chicora,1938,"Pennsylvania, USA",LL6,303 g,"(40.933330, -79.733330)ææ",
Chisengaæ**,1988,"Northern, Malawi","Iron, IIIAB",3.92 kg,"(-10.059440, 33.395000)ææ",
Chitadoæ**,1966,"Cunene, Angola",L6,,"(-17.350000, 13.966670)ææ",
Chitenayæ**,1978,"Centre, France",L6,4 kg,"(47.470830, 0.976670)ææ",
Cilimusæ**,1979,"Jawa Barat, Indonesia",L5,1600 g,"(-6.950000, 108.100000)ææ",
Civitavecchia,1855,"Lazio, Italy",Doubtful meteorite,,"(42.083330, 11.783330)ææ",
Claxtonæ**,1984,"Georgia, USA",L6,1455 g,"(32.102500, -81.872780)ææ",
Clohars,1822,France,L4,48.6 g,,
Colby (Wisconsin),1917,"Wisconsin, USA",L6,104 kg,"(44.900000, -90.283330)ææ",
Cold Bokkeveld,1838,"Western Cape, South Africa",CM2,5.2 kg,"(-33.133330, 19.383330)ææ",
Colemanæ**,1994,"Michigan, USA",L6,469 g,"(43.761110, -84.507780)ææ",
Collescipoli,1890,"Umbria, Italy",H5,5 kg,"(42.533330, 12.616670)ææ",
Conquistaæ**,1965,"Minas Gerais, Brazil",H4,20.35 kg,"(-19.850000, -47.550000)ææ",
Constantinople,1805,"Istanbul, Turkey",Doubtful eucrite,,"(41.050000, 28.916670)ææ",
Copinsay,1676,"Scotland, UK",Doubtful stone,,"(58.900000, -2.683330)ææ",
Cosina,1844,"Guanajuato, Mexico",H5,1200 g,"(21.166670, -100.866670)ææ",
Cranganore,1917,"Kerala, India",L6,1460 g,"(10.200000, 76.266670)ææ",
Crema,1511,"Lombardia, Italy",Doubtful stone,,"(45.350000, 9.700000)ææ",
Crescent,1936,"Oklahoma, USA",CM2,78.4 g,"(35.950000, -97.583330)ææ",
Crevalcore,1596,"Emilia-Romagna, Italy",Doubtful meteorite,,"(44.716670, 11.166670)ææ",
Cronstad,1877,"Free State, South Africa",H5,3.65 kg,"(-27.700000, 27.300000)ææ",
Cross Roads,1892,"North Carolina, USA",H5,167 g,"(35.633330, -78.133330)ææ",
Crumlin,1902,"Northern Ireland, UK",L5,4.26 kg,"(54.616670, -6.216670)ææ",
Cumberland Falls,1919,"Kentucky, USA",Aubrite,17 kg,"(36.833330, -84.350000)ææ",
Curvello,1833,"Minas Gerais, Brazil",Doubtful meteorite,218 g,"(-18.800000, -44.616670)ææ",
Cynthiana,1877,"Kentucky, USA",L/LL4,6 kg,"(38.400000, -84.250000)ææ",
Dahmaniæ**,1981,"Al Qasrayn, Tunisia",LL6,18 kg,"(35.616670, 8.833330)ææ",
Dandapur,1878,"Uttar Pradesh, India",L6,5.65 kg,"(26.916670, 83.966670)ææ",
Daniel's Kuil,1868,"Northern Cape, South Africa",EL6,1064 g,"(-28.200000, 24.566670)ææ",
Danville,1868,"Alabama, USA",L6,2 kg,"(34.400000, -87.066670)ææ",
Daoukro,,"Daoukro, Ivory Coast",Doubtful meteorite,,"(7.083330, -3.966670)ææ",
Darmstadt,1804,"Hessen, Germany",H5,100 g,"(49.866670, 8.650000)ææ",
Dashoguzæ**,1998,"Tashauz, Turkmenistan",H5,7 kg,"(41.984440, 59.685000)ææ",
Dauleæ**,2008,"Guayas, Ecuador",L5,6.58 kg,"(-1.870890, -79.957560)ææ",
De Cewsville,1887,"Ontario, Canada",H6,340 g,"(43.000000, -80.000000)ææ",
Deal,1829,"New Jersey, USA",L6,28 g,"(40.250000, -74.000000)ææ",
Delhi,1897,"Delhi, India",L5,0.8 g,"(28.566670, 77.250000)ææ",
Demina,1911,"Altayskiy kray, Russia",L6,16.4 kg,"(51.466670, 84.766670)ææ",
Demsaæ**,2006,"Adamawa, Nigeria",H6,5 kg,"(9.455900, 12.152600)ææ",
Denmark,1076,Denmark,Doubtful meteorite,,,
Denveræ**,1967,"Colorado, USA",L6,230 g,"(39.782500, -104.930560)ææ",
Dergaonæ**,2001,"Assam, India",H5,12.5 kg,"(26.683330, 93.866670)ææ",
Desuriæ**,1962,"Rajasthan, India",H6,25.4 kg,"(25.733330, 73.616670)ææ",
Devgaonæ**,2001,"Madhya Pradesh, India",H3.8,12 kg,"(19.000000, 81.000000)ææ",
Devri-Kheraæ**,1994,"Madhya Pradesh, India",L6,1140 g,"(24.225000, 76.525000)ææ",
Dhajalaæ**,1976,"Gujarat, India",H3.8,45 kg,"(22.377780, 71.427220)ææ",
Dharwar,1848,"Karnataka, India",OC,1800 g,"(14.883330, 75.600000)ææ",
Dhurmsala,1860,"Himachal Pradesh, India",LL6,32 kg,"(32.233330, 76.466670)ææ",
Didimæ**,2007,"Aydin, Turkey",H3-5,3.4 kg,"(37.351720, 27.329970)ææ",
Diep River,1906,"Western Cape, South Africa",L6,1000 g,"(-33.750000, 18.566670)ææ",
