Name,Year,Please,Type,Mass,Lat,Long
Senboku,1993,"Tohoku, Japan",H6,866 g,39.43833,140.51167
Seoni,1966,"Maharashtra, India",H6,20 kg,21.68389,79.50083
Seres,1818,"Macedonia, Greece",H4,8.5 kg,41.05,23.56667
Serra de Mag_,1923,"Pernambuco, Brazil",Eucrite-cm,1800 g,-8.38333,-36.76667
Sete Lagoas,1908,"Minas Gerais, Brazil",H4,350 g,-19.46667,-44.21667
Sevilla,1862,"Andalucia, Spain",LL4,180 g,37.41667,-6
Sevrukovo,1874,"Belgorodskaya oblast', Russia",L5,101 kg,50.61667,36.6
Sfax,1989,"Safaqis, Tunisia",L6,7 kg,34.75,10.71667
Shalka,1850,"West Bengal, India",Diogenite,4 kg,23.1,87.3
Sharps,1921,"Virginia, USA",H3.4,1265 g,37.83333,-76.7
Shelburne,1904,"Ontario, Canada",L5,18.6 kg,44.05,-80.16667
Shergotty,1865,"Bihar, India",Martian shergottite,5 kg,24.55,84.83333
Sheyang,1976,"Jiangsu, China",L6,605 g,33.65,120.06667
Shikarpur,1921,"Bihar, India",L6,3.68 kg,25.85,87.5775
Shuangyang,1971,"Jilin, China",H5,3.9 kg,43.5,125.66667
Shupiyan,1912,"Jammu & Kashmir, India",H6,5 kg,33.71667,74.83333
Shytal,1863,"Dhaka, Bangladesh",L6,3.2 kg,24.33333,90.16667
Siena,1794,"Toscana, Italy",LL5,3.7 kg,43.11667,11.6
Sikhote-Alin,1947,"Primorskiy kray, Russia","Iron, IIAB",23 t,46.16,134.65333
Sikhote Alin [crater],fell 1947,"Primorskiy kray, Russia",Impact Crater,,46.11667,134.66667
Silao,1995,"Guanajuato, Mexico",H5,1710 g,20.93333,-101.38333
Silistra,1917,"Razgrad, Bulgaria",Achondrite-ung,0.15 g,44.11667,27.26667
Simmern,1920,"Rheinland-Pfalz, Germany",H5,1222 g,49.98333,7.53333
Simonod,1835,"Rhone-Alpes, France",Doubtful chondrite,1100 g,46.08333,5.33333
Sinai,1916,"Al Isma'iliyah, Egypt",L6,1455 g,30.9,32.48333
Sindhri,1901,"Sind, Pakistan",H5,8.4 kg,26.21667,69.55
Sinnai,1956,"Sardegna, Italy",H6,2 kg,39.3,9.2
Sioux County,1933,"Nebraska, USA",Eucrite-mmict,4.1 kg,42.58333,-103.66667
Sitathali,1875,"Madhya Pradesh, India",H5,1600 g,20.91667,82.58333
Sivas,1989,"Yozgat, Turkey",H6,40 kg,39.82467,36.13583
Sixiangkou,1989,"Jiangsu, China",L5,630 g,32.43333,119.86667
SkŒne-TranŒs,1922,"Jonkopings, Sweden",Doubtful meteorite,,58,15
Ski,1848,"Akershus, Norway",L6,850 g,59.73333,10.86667
Slavetic,1868,Croatia,H5,1708 g,45.68333,15.6
Slobodka,1818,"Smolenskaya oblast', Russia",L4,2.75 kg,55,35
Soheria,1960,"Bihar, India",OC,72.9 g,27.13333,84.06667
Soko-Banja,1877,"Serbia, Serbia and Montenegro",LL4,80 kg,43.66667,21.86667
Sologne,1860,"Centre, France",H5,54 g,47.36667,1.73333
So_tmany,2011,"Suwalki, Poland",L6,1066 g,54.00883,22.005
Sone,1866,"Kinki, Japan",H5,17.1 kg,35.16667,135.33333
Songyuan,1993,"Jilin, China",L6,36.9 kg,45.25,125
Sopot,1927,"Dolj, Romania",OC,958 g,44.41667,23.5
Soroti,1945,"Eastern, Uganda","Iron, ungrouped",2.05 kg,1.7,33.63333
Sotik,1946,Kenya,Doubtful meteorite,2.05 kg,,
Soweida,856,"As Suwayda', Syria",Doubtful meteorite,,32.71667,36.56667
St-Robert,1994,"Quebec, Canada",H5,25.4 kg,45.96861,-72.97806
Saint-S_verin,1966,"Poitou-Charentes, France",LL6,271 kg,45.3,0.23333
St_lldalen,1876,"Orebro, Sweden",H5,34 kg,59.93333,14.95
Stannern,1808,"Vysocina, Czech Republic",Eucrite-mmict,52 kg,49.28333,15.56667
Stavropol,1857,"Stavropol'skiy kray, Russia",L6,1500 g,45.05,41.98333
Steiermark,1618,"Steiermark, Austria",Doubtful meteorite,,47,15
Sterlitamak,1990,"Respublika Bashkortostan, Russia","Iron, IIIAB",325 kg,53.66667,55.98333
Stolzenau,1647,"Niedersachsen, Germany",Stone-uncl,,52.53333,9.05
Stratford,1974,"Connecticut, USA",L6,50 g,41.2,-73.13333
Strathmore,1917,"Scotland, UK",L6,13.4 kg,56.58333,-3.25
Stretchleigh,1623,"England, UK",Stone-uncl,10.4 kg,50.38333,-3.95
Success,1924,"Arkansas, USA",L6,3.5 kg,36.48333,-90.66667
Suchy Dul,1969,"Kr‡lov_hradeck_, Czech Republic",L6,815 g,50.53806,16.26333
Suizhou,1986,"Hubei, China",L6,260 kg,31.61667,113.46667
Sulagiri,2008,"Tamil Nadu, India",LL6,110 kg,12.66667,78.03333
Sultanpur,1916,"Uttar Pradesh, India",L/LL6,1711 g,25.93333,84.28333
Sungach,1935,"Primorskiy kray, Russia",H5,637 g,44.86667,133.16667
Supuhee,1865,"Uttar Pradesh, India",H6,7.24 kg,26.71667,84.21667
Sutter's Mill,2012,"California, USA",C,993 g,38.80389,-120.90806
Sylacauga,1954,"Alabama, USA",H4,5.56 kg,33.18836,-86.2945
Tabor,1753,"Jihocesky, Czech Republic",H5,7.54 kg,49.4,14.65
Tadjera,1867,"Setif, Algeria",L5,9 kg,36.18333,5.41667
Tagish Lake,2000,"British Columbia, Canada",C2-ung,10 kg,59.70444,-134.20139
Tahara,1991,"Chubu, Japan",H4/5,1000 g,34.72,137.305
Takenouchi,1880,"Kinki, Japan",H5,720 g,35.38333,134.9
Talampaya,1995,Argentina,Eucrite-cm,1421 g,,
Tambakwatu,1975,"Jawa Timur, Indonesia",L6,10.5 kg,-7.75,112.76667
Tamdakht,2008,"Souss-Massa-Dra‰, Morocco",H5,100 kg,31.16333,-7.015
Tandil,1918,"Buenos Aires, Argentina",Pseudometeorite,980 g,-37.36667,-59.33333
Tan_,1918,"Kinki, Japan",L5,905 g,35.43333,136.23333
Taonan,1965,"Jilin, China",L5,3.85 kg,45.4,122.9
Tatahouine,1931,"Tatawin, Tunisia",Diogenite,12 kg,32.95,10.41667
Tathlith,1967,"'Asir, Saudi Arabia",L6,2.5 kg,19.38333,43.73333
Tauk,1929,"Salah ad Din, Iraq",L6,6 kg,35.13333,44.45
Tauti,1937,"Cluj, Romania",L6,21 kg,46.71667,23.5
Tenham,1879,"Queensland, Australia",L6,160 kg,-25.73333,142.95
Tennasilm,1872,Estonia,L4,28.5 kg,58.03333,26.95
Terranova di Sibari,1755,"Calabria, Italy",Doubtful meteorite,3.5 kg,39.33333,16.33333
Thal,1950,"North-west Frontier, Pakistan",H6,342 g,33.4,70.6
Thika,2011,"Central, Kenya",L6,14.2 kg,-1.00278,37.15028
Thrace,452,Greece,Doubtful meteorite,,41.66667,25
Thuathe,2002,"Berea, Lesotho",H4/5,45.3 kg,-29.33333,27.58333
Tianzhang,1986,"Anhui, China",H5,2.23 kg,32.94667,118.99
Tieschitz,1878,"Olomouck_, Czech Republic",H/L3.6,28 kg,49.6,17.11667
Tilden,1927,"Illinois, USA",L6,74.8 kg,38.2,-89.68333
Tillaberi,1970,"Niamey, Niger",L6,3 kg,14.25,1.53333
Timochin,1807,"Kaluzhskaya oblast', Russia",H5,65.5 kg,54.5,35.2
Tinajdad,2014,"Centre-South, Morocco",H5,1860 g,31.60922,-5.19408
Tirhert,2014,"Guelmim-Es-Semara, Morocco",Eucrite-unbr,8 kg,28.935,-8.905
Tirupati,1934,"Andhra Pradesh, India",H6,230 g,13.63333,79.41667
Tissint,2011,"Guelmim-Es-Semara, Morocco",Martian shergottite,7 kg,29.48195,-7.61123
Tjabe,1869,"Jawa Tengah, Indonesia",H6,20 kg,-7.08333,111.53333
Tjerebon,1922,"Jawa Barat, Indonesia",L5,16.5 kg,-6.66667,106.58333
Tomakovka,1905,"Dnepropetrovsk, Ukraine",LL6,600 g,47.85,34.76667
Tomatlan,1879,"Jalisco, Mexico",H6,900 g,20.16667,-105.21667
Tomita,1916,"Chugoku, Japan",L,600 g,34.5,133.75
Tomiya,1984,"Tohoku, Japan",H4/5,27.5 g,38.36667,140.86556
Tonk,1911,"Rajasthan, India",CI1,7.7 g,24.65,76.86667
Torgau,1561,"Sachsen, Germany",Doubtful meteorite,157 g,51.56667,13.05
Torino,1988,"Piemonte, Italy",H6,977 g,45.06667,7.66667
Torrington,1944,"Wyoming, USA",H6,259 g,42.06667,-104.16667
Toulouse,1812,"Midi-Pyrenees, France",H6,1030 g,43.6,1.4
Tounkin,1824,"Respublika Buryatiya, Russia",OC,2 kg,51.73333,102.53333
Tourinnes-la-Grosse,1863,"Walloon Brabant, Belgium",L6,14.5 kg,50.78333,4.76667
Trebbin,1988,"Brandenburg, Germany",LL6,1250 g,52.21667,13.16667
Tregnie,1622,UK,Doubtful meteorite,1250 g,,
Trenzano,1856,"Lombardia, Italy",H3/4,11.8 kg,45.46667,10
Treysa,1916,"Hessen, Germany","Iron, IIIAB-an",63 kg,50.91667,9.18333
Trom¿y,1950,"Aust-Agder, Norway",H,357 g,58.47333,8.86667
Troup,1917,"Texas, USA",L6,1020 g,32.16667,-95.1
Trysil,1927,"Hedmark, Norway",L/LL6,640 g,61.3,12.3
Tsukuba,1996,"Kanto, Japan",H5-6,800 g,36.06333,140.145
Tuan Tuc,1921,"Can Tho, Vietnam",L6,13.1 kg,9.66667,105.66667
Tugalin-Bulen,1967,"Dundgovi, Mongolia",H6,10 kg,45.46667,105.38333
Tulung Dzong,1944,"Xizang, China",Stone-uncl,,30,90.75
Tunguska,1908,"Evenkiyskiy avtonomnyy okrug, Russia",Unknown,13.4 g,60.9,101.95
Turin,1782,"Piemonte, Italy",Doubtful meteorite,8 kg,45.06667,7.68333
Turtle Lake,1996,"Wisconsin, USA",L5,89.3 g,45.34583,-92.05167
Tuxtuac,1975,"Zacatecas, Mexico",LL5,30 kg,21.66667,-103.36667
Tysnes Island,1884,"Hordaland, Norway",H4,19.86 kg,60,5.61667
Tyumen,1903,"Tyumenskaya oblast', Russia",Iron,750 g,57.16667,65.53333
Uberaba,1903,"Minas Gerais, Brazil",H5,40 kg,-19.81667,-48.78333
Ucera,1970,"Falcon, Venezuela",H5,4.59 kg,11.05,-69.85
Uchkuduk,1989,"Navoi, Uzbekistan",L6,1000 g,41.76667,62.51667
Udaipur,1976,India,H3,2 kg,,
Udei Station,1927,"Benue, Nigeria","Iron, IAB-ung",103 kg,7.95,8.08333
Uden,1840,"Noord-Brabant, Netherlands",LL7,710 g,51.65,5.61667
Udipi,1866,"Karnataka, India",H5,3.6 kg,13.48333,74.78333
Ufana,1957,"Arusha, Tanzania",EL6,189.2 g,-4.26667,35.35
Ulmiz,1926,"Fribourg, Switzerland",L,76.5 g,46.93333,7.21667
Umbala,1822,"Punjab, India",LL5,100 g,30.33333,76.33333
Umm Ruaba,1966,"Kurdufan, Sudan",L5,1700 g,13.46667,31.21667
Umm Ruaba b,1983,Sudan,L4,,,
Undulung,1986,"Respublika SakhaYakutiya, Russia",L4,113.4 g,66.13889,124.76667
Unkoku,1924,"Cholla-namdo, South Korea",OC,1000 g,34.8,127
Urasaki,1926,"Chugoku, Japan",Stone-uncl,1500 g,34.48333,133.28333
Usti Nad Orlici,1963,"Pardubick_, Czech Republic",L6,1269 g,49.975,16.375
Utrecht,1843,"Utrecht, Netherlands",L6,9.7 kg,52.11667,5.18333
Utzenstorf,1928,"Bern, Switzerland",H5,3.42 kg,47.11667,7.55
Uzcudun,1948,"Chubut, Argentina",L,20 kg,-44.11667,-66.15
Vago,1668 or 1688,"Veneto, Italy",H6,40 g,45.41667,11.13333
Valdavur,1944,"Pondicherry, India",H6,2.8 kg,11.98333,79.75
Valdinizza,1903,"Lombardia, Italy",L6,1004 g,44.86667,9.15
Valdinoce,1496,"Emilia-Romagna, Italy",Stone-uncl,,44.06667,12.1
Valera,1972,"Trujillo, Venezuela",L5,50 kg,9.31667,-70.62833
Varre-Sai,2010,"Rio de Janeiro, Brazil",L5,2.5 kg,-20.85001,-41.73356
Vavilovka,1876,"Kherson, Ukraine",LL6,1932 g,46.15,32.83333
Velikoi-Ustyug,1250,"Vologodskaya oblast', Russia",Doubtful meteorite,,60.78333,46.36667
Vengerovo,1950,"Novosibirskaya oblast', Russia",H5,10.8 kg,56.13333,77.26667
Veramin,1880,"Tehran, Iran",Mesosiderite-B2,54 kg,35.33333,51.63333
Verkhne Tschirskaia,1843,"Volgogradskaya oblast', Russia",H5,8 kg,48.41667,43.2
Vernon County,1865,"Wisconsin, USA",H6,1500 g,43.5,-91.16667
Vetluga,1949,"Nizhegorodskaya oblast', Russia",Eucrite-mmict,750 g,57.8,45.8
Vicência,2013,"Pernambuco, Brazil",LL3.2,1540 g,-7.70833,-35.42767
Vigarano,1910,"Emilia-Romagna, Italy",CV3,15 kg,44.85,11.4
Villalbeto de la Pe–a,2004,"Castilla y Leon, Spain",L6,3.5 kg,42.8,-4.66667
Villarrica,1925,"Guaira, Paraguay",Stone-uncl,,-25.83333,-56.5
Vilna,1967,"Alberta, Canada",L5,0.1 g,54.225,-111.69167
Virba,1873,"Mikhaylovgrad, Bulgaria",L6,3.6 kg,43.53333,22.63333
Vishnupur,1906,"West Bengal, India",LL4-6,2.44 kg,23.1,87.43333
Vissannapeta,1997,"Andhra Pradesh, India",Eucrite-cm,1304 g,16.83333,80.75
Visuni,1915,"Sind, Pakistan",H6,594 g,25.45,70
Viterbo,1474,"Lazio, Italy",Doubtful meteorite,594 g,42.41667,12.11667
Vouill_,1831,"Poitou-Charentes, France",L6,20 kg,46.63333,0.16667
Walkringen,1698,"Bern, Switzerland",Doubtful stone,,46.95,7.63333
Walters,1946,"Oklahoma, USA",L6,28.1 kg,34.33333,-98.3
Warrenton,1877,"Missouri, USA",CO3.7,1600 g,38.68333,-91.15
Washougal,1939,"Washington, USA",Howardite,225 g,45.58333,-122.35
Werdama,2006,"Al Jabal al Akhdar, Libya",H5,4 kg,32.79732,21.78713
Wessely,1831,"Jihomoravsky, Czech Republic",H5,3.75 kg,48.95,17.38333
Weston,1807,"Connecticut, USA",H4,150 kg,41.266667,-73.266667
Wethersfield 1971,1971,"Connecticut, USA",L6,350 g,41.7,-72.65
Wethersfield 1982,1982,"Connecticut, USA",L6,2.76 kg,41.71056,-72.67361
Whetstone Mountains,2009,"Arizona, USA",H5,2.14 kg,31.938626,-110.424477
Wiluna,1967,"Western Australia, Australia",H5,150 kg,-26.59278,120.32833
Witklip Farm,1918,"Mpumalanga, South Africa",H5,22 g,-26,30
Witsand Farm,1932,"Karasburg, Namibia",LL4,66 g,-28.66667,18.91667
Wittekrantz,1880,"Western Cape, South Africa",L5,2.2 kg,-32.5,23
Wolamo,1964,"Shewa, Ethiopia",OC,166.4 g,9,39
Wolcott,2013,"Connecticut, USA",L5,838 g,41.60753,-73.01237
Wold Cottage,1795,"England, UK",L6,25 kg,54.13667,-0.41333
Woodbridge,1642,"England, UK",Doubtful meteorite,1800 g,52.1,1.31667
Woolgorong,1960,"Western Australia, Australia",L6,36 kg,-27.75,115.83333
Worden,1997,"Michigan, USA",L5,1551 g,42.38467,-83.6115
Wuan,1986,"Hebei, China",H6,50 kg,36.75,114.25
Wuzhi,1931,"Henan, China",Stone-uncl,,35.13333,113.33333
Xi Ujimgin,1980,"Nei Mongol, China",L/LL6-an,5.9 kg,44.66667,117.5
Xingyang,1977,"Henan, China",H6,75.5 kg,32.33333,114.31667
Xining,2012,"Qinghai, China",L5,100 kg,36.85992,101.42603
Yaddlethorpe,1963,"England, UK",Pseudometeorite,5.9 kg,53.55,-0.65
Yafa,2000,"Abyan, Yemen",H5,5.7 kg,13.71111,45.17
Yakushima,1902,"Kyushu, Japan",Doubtful stone,46.5 g,30.33333,130.5
Yambo,1951,"Equateur, Congo - Dem. Rep.",H5,4 g,1,22.5
Yangchiang,1954,"Guangdong, China",H5,20 kg,21.83333,111.83333
Yanzhuang,1990,"Guangdong, China",H6,3.5 kg,24.56667,114.16667
Yardymly,1959,"Baku, Azerbaijan","Iron, IAB complex",150.2 kg,38.93333,48.25
Yatoor,1852,"Andhra Pradesh, India",H5,13.6 kg,14.3,79.76667
Yonozu,1837,"Tohoku, Japan",H4/5,31.65 kg,37.75,139
Yorkshire,1360,"England, UK",Doubtful meteorite,2 g,54,-1
Yorktown New York,1869,"New York, USA",L5,250 g,41.28333,-73.81667
Yoshiki,1928,"Chugoku, Japan",Stone-uncl,0.1 g,34.16667,131.45
Yukan,1931,"Jiangxi, China",LL6,4.8 kg,28.71667,116.61667
Yurtuk,1936,"Zaporozh'ye, Ukraine",Howardite,1472 g,47.31667,35.36667
Zaborzika,1818,"Zhitomir, Ukraine",L6,3.87 kg,50.28333,27.68333
Zabrodje,1893,"Vitebsk, Belarus",L6,3 kg,55.18333,27.91667
Zag,1998,"Saguia el Hamra, Western Sahara",H3-6,175 kg,27.33333,-9.33333
Zagami,1962,"Katsina, Nigeria",Martian shergottite,18 kg,11.73333,7.08333
Zaisan,1963,"Semipalatinsk, Kazakhstan",H5,463 g,47.5,83
Zaisho,1898,"Shikoku, Japan","Pallasite, PMG-an",330 g,33.7,133.8
Zaoyang,1984,"Hubei, China",H5,14.25 kg,32.3,112.75
Zavetnoe,1952,"Rostovskaya oblast', Russia",L6,800 g,47.13333,43.9
Zavid,1897,Bosnia and Herzegovina,L6,95 kg,44.4,19.11667
_d'‡r nad S‡zavou,2014,"Vysocina, Czech Republic",L3,45 g,49.52167,16.03333
Zebrak,1824,"Stredocesky, Czech Republic",H5,2 kg,49.88333,13.91667
Zemaitkiemis,1933,Lithuania,L6,44.1 kg,55.3,25
Zhaodong,1984,"Heilongjiang, China",L4,42 kg,45.81667,125.91667
Zhovtnevyi,1938,"Donetsk, Ukraine",H6,107 kg,47.58333,37.25
Zhuanghe,1976,"Liaoning, China",H5,2.9 kg,39.66667,122.98333
Zmenj,1858,"Brest, Belarus",Howardite,246 g,51.83333,26.83333
Zomba,1899,"Southern, Malawi",L6,7.5 kg,-15.18333,35.28333
Zsadany,1875,"Bekes, Hungary",H5,552 g,46.93333,21.5
Zvonkov,1955,"Kiev, Ukraine",H6,2.57 kg,50.2,30.25
