Name,Year,Please,Type,Mass,Lat,Long
Chandakapur,1838,"Maharashtra, India",L5,8.8 kg,20.26667,76.01667
Chandpur,1885,"Uttar Pradesh, India",L6,1100 g,27.28333,79.05
Changde,1977,"Hunan, China",H5,1810 g,29.08333,111.75
Changxing,1964,"Shanghai, China",H5,27.9 kg,31.425278,121.679722
Chantonnay,1812,"Centre, France",L6,31.5 kg,46.68333,1.05
Charleroi,1634,"Hainaut, Belgium",Doubtful stone,,50.4,4.46667
Charlotte,1835,"Tennessee, USA","Iron, IVA",4.3 kg,36.16667,-87.33333
Charsonville,1810,"Centre, France",H6,27 kg,47.93333,1.56667
Charwallas,1834,"Haryana, India",H6,12 kg,29.48333,75.5
Chassigny,1815,"Champagne-Ardenne, France",Martian chassignite,4 kg,47.71667,5.36667
Ch‰teau-Renard,1841,"Centre, France",L6,30 kg,47.93333,2.91667
Chaves,1925,"Vila Real, Portugal",Howardite,2.95 kg,41.93333,-7.46667
Chela,1988,"Shinyanga, Tanzania",H4,2.94 kg,-3.66667,32.5
Chelyabinsk,2013,"Chelyabinskaya oblast', Russia",LL5,1 t,54.81667,61.11667
Chergach,2007,"Tombouctou, Mali",H5,100 kg,23.69639,-5.01472
Chernyi Bor,1964,"Mogilev, Belarus",H4,6 kg,53.7,30.1
Cherokee Springs,1933,"South Carolina, USA",LL6,8.4 kg,35.03333,-81.88333
Chervettaz,1901,"Fribourg, Switzerland",L5,705 g,46.55,6.81667
Chervony Kut,1939,"Sumy, Ukraine",Eucrite-mmict,1700 g,50.83333,34
Chetrinahatti,1880,"Karnataka, India",Stone-uncl,72 g,14.5,76.5
Chiang Khan,1981,"Loei, Thailand",H6,367 g,17.9,101.63333
Chicora,1938,"Pennsylvania, USA",LL6,303 g,40.93333,-79.73333
Chisenga,1988,"Northern, Malawi","Iron, IIIAB",3.92 kg,-10.05944,33.395
Chitado,1966,"Cunene, Angola",L6,,-17.35,13.96667
Chitenay,1978,"Centre, France",L6,4 kg,47.47083,0.97667
Cilimus,1979,"Jawa Barat, Indonesia",L5,1600 g,-6.95,108.1
Civitavecchia,1855,"Lazio, Italy",Doubtful meteorite,,42.08333,11.78333
Claxton,1984,"Georgia, USA",L6,1455 g,32.1025,-81.87278
Clohars,1822,France,L4,48.6 g,,
Colby Wisconsin,1917,"Wisconsin, USA",L6,104 kg,44.9,-90.28333
Cold Bokkeveld,1838,"Western Cape, South Africa",CM2,5.2 kg,-33.13333,19.38333
Coleman,1994,"Michigan, USA",L6,469 g,43.76111,-84.50778
Collescipoli,1890,"Umbria, Italy",H5,5 kg,42.53333,12.61667
Conquista,1965,"Minas Gerais, Brazil",H4,20.35 kg,-19.85,-47.55
Constantinople,1805,"Istanbul, Turkey",Doubtful eucrite,,41.05,28.91667
Copinsay,1676,"Scotland, UK",Doubtful stone,,58.9,-2.68333
Cosina,1844,"Guanajuato, Mexico",H5,1200 g,21.16667,-100.86667
Cranganore,1917,"Kerala, India",L6,1460 g,10.2,76.26667
Crema,1511,"Lombardia, Italy",Doubtful stone,,45.35,9.7
Crescent,1936,"Oklahoma, USA",CM2,78.4 g,35.95,-97.58333
Crevalcore,1596,"Emilia-Romagna, Italy",Doubtful meteorite,,44.71667,11.16667
Cronstad,1877,"Free State, South Africa",H5,3.65 kg,-27.7,27.3
Cross Roads,1892,"North Carolina, USA",H5,167 g,35.63333,-78.13333
Crumlin,1902,"Northern Ireland, UK",L5,4.26 kg,54.61667,-6.21667
Cumberland Falls,1919,"Kentucky, USA",Aubrite,17 kg,36.83333,-84.35
Curvello,1833,"Minas Gerais, Brazil",Doubtful meteorite,218 g,-18.8,-44.61667
Cynthiana,1877,"Kentucky, USA",L/LL4,6 kg,38.4,-84.25
Dahmani,1981,"Al Qasrayn, Tunisia",LL6,18 kg,35.61667,8.83333
Dandapur,1878,"Uttar Pradesh, India",L6,5.65 kg,26.91667,83.96667
Daniel's Kuil,1868,"Northern Cape, South Africa",EL6,1064 g,-28.2,24.56667
Danville,1868,"Alabama, USA",L6,2 kg,34.4,-87.06667
Daoukro,,"Daoukro, Ivory Coast",Doubtful meteorite,,7.08333,-3.96667
Darmstadt,1804,"Hessen, Germany",H5,100 g,49.86667,8.65
Dashoguz,1998,"Tashauz, Turkmenistan",H5,7 kg,41.98444,59.685
Daule,2008,"Guayas, Ecuador",L5,6.58 kg,-1.87089,-79.95756
De Cewsville,1887,"Ontario, Canada",H6,340 g,43,-80
Deal,1829,"New Jersey, USA",L6,28 g,40.25,-74
Delhi,1897,"Delhi, India",L5,0.8 g,28.56667,77.25
Demina,1911,"Altayskiy kray, Russia",L6,16.4 kg,51.46667,84.76667
Demsa,2006,"Adamawa, Nigeria",H6,5 kg,9.4559,12.1526
Denmark,1076,Denmark,Doubtful meteorite,,,
Denver,1967,"Colorado, USA",L6,230 g,39.7825,-104.93056
Dergaon,2001,"Assam, India",H5,12.5 kg,26.68333,93.86667
Desuri,1962,"Rajasthan, India",H6,25.4 kg,25.73333,73.61667
Devgaon,2001,"Madhya Pradesh, India",H3.8,12 kg,19,81
Devri-Khera,1994,"Madhya Pradesh, India",L6,1140 g,24.225,76.525
Dhajala,1976,"Gujarat, India",H3.8,45 kg,22.37778,71.42722
Dharwar,1848,"Karnataka, India",OC,1800 g,14.88333,75.6
Dhurmsala,1860,"Himachal Pradesh, India",LL6,32 kg,32.23333,76.46667
Didim,2007,"Aydin, Turkey",H3-5,3.4 kg,37.35172,27.32997
Diep River,1906,"Western Cape, South Africa",L6,1000 g,-33.75,18.56667
Distrito Quebracho,1957,"Entre Rios, Argentina",H4,400 g,-31.88333,-60.46667
Djati-Pengilon,1884,"Jawa Timur, Indonesia",H6,166 kg,-7.5,111.5
Djermaia,1961,"Chari-Baguirmi, Chad",H,3.95 kg,12.73333,15.05
Djoumine,1999,"Banzart, Tunisia",H5-6,10 kg,36.95,9.55
Dokachi,1903,"Dhaka, Bangladesh",H5,3.84 kg,23.5,90.33333
Dolgovoli,1864,"Volyn, Ukraine",L6,1600 g,50.75,25.3
Domanitch,1907,"Bursa, Turkey",L5,438 g,40,29
Dong Ujimqin Qi,1995,"Nei Mongol, China",Mesosiderite,128.8 kg,45.5,119.03333
Donga Kohrod,1899,"Madhya Pradesh, India",H6,230 g,21.86667,82.45
Dongtai,1970,"Jiangsu, China",LL6,5.5 kg,32.91667,120.78333
Dongyang,2002,"Zhejiang, China",H5,230 g,29.2753,120.2363
Dordrecht iron,1650,"Zuid-Holland, Netherlands",Doubtful meteorite,,51.8,4.65
Dordrecht stone,1808,"Zuid-Holland, Netherlands",Doubtful meteorite,,51.8,4.65
Doroninsk,1805,"Chitinskaya oblast', Russia",H5-7,3.89 kg,51.2,112.3
Dorpat,1704,Estonia,Doubtful meteorite,,58.4,26.6
Dosso,1962,"Dosso, Niger",L6,1250 g,13.05,3.16667
Douar Mghila,1932,"Tadla-Azilal, Morocco",LL6,1161 g,32.33333,-6.3
Dowa,1976,"Central, Malawi",Stone-uncl,642 g,-13.66667,33.91667
Drake Creek,1827,"Tennessee, USA",L6,5 kg,36.4,-86.5
Draveil,2011,"Ile-del-France, France",H5,7.5 kg,48.68667,2.42833
Dresden Ontario,1939,"Ontario, Canada",H6,47.7 kg,42.52,-82.26
Dubrovnik,1951,Croatia,L3-6,1900 g,42.45833,18.44167
Dunbogan,1999,"New South Wales, Australia",L6,30 g,-31.66667,152.83333
Dundrum,1865,"Munster, Ireland",H5,2.27 kg,52.55,-8.03333
Dunhua,1976,"Jilin, China",Stone-uncl,,43.33333,128.25
Durala,1815,"Punjab, India",L6,13.2 kg,30.3,76.63333
Duruma,1853,"Coast, Kenya",L6,577 g,-4,39.5
Duwun,1943,South Korea,L6,2.12 kg,33.43333,127.26667
Dwaleni,1970,"Shiselweni, Swaziland",H4-6,3.23 kg,-27.2,31.31667
Dyalpur,1872,"Uttar Pradesh, India",Ureilite,300 g,26.25,82
Dyarrl Island,1933,"New Ireland, Papua New Guinea",Mesosiderite-A1,188 g,-3,151
Eagle,1947 or 1946,"Nebraska, USA",EL6,10 kg,40.78167,-96.47167
East Norton,1803,"England, UK",Doubtful meteorite,,52.55,-0.83333
Eaton,1931,"Colorado, USA",Pseudometeorite,29.5 g,40.51667,-104.68333
Ehole,1961,"Cunene, Angola",H5,2.4 kg,-17.3,15.83333
Eichst_dt,1785,"Bayern, Germany",H5,3 kg,48.9,11.21667
Ekeby,1939,"Malmohus, Sweden",H4,3.34 kg,56.03333,13
Ekh Khera,1916,"Uttar Pradesh, India",H6,840 g,28.26667,78.78333
El Idrissia,1989,"Djelfa, Algeria",L6,10 kg,34.41667,3.25
El Marplatense,,"Buenos Aires, Argentina",Pseudometeorite,,-37.98333,-57.63333
El Paso de Aguila,1977,"Tamaulipas, Mexico",H5,17.23 kg,25.37,-97.37
El Tigre,1993,"Michoacan, Mexico",L6,5 kg,19.96722,-103.05167
Elbert,1998,"Colorado, USA",LL6,681 g,39.24667,-104.58817
Elbogen,1400,"Karlovarsk_, Czech Republic","Iron, IID",107 kg,50.18333,12.73333
Elenovka,1951,"Donetsk, Ukraine",L5,54.64 kg,47.83333,37.66667
Ellemeet,1925,"Zeeland, Netherlands",Diogenite,1470 g,51.75,4
Emmaville,1900,"New South Wales, Australia",Eucrite-mmict,127 g,-29.46667,151.61667
Enshi,1974,"Hubei, China",H5,8 kg,30.3,109.5
Ensisheim,1492,"Alsace, France",LL6,127 kg,47.86667,7.35
ƒpinal,1822,"Lorraine, France",H5,277 g,48.18333,6.46667
Erakot,1940,"Madhya Pradesh, India",CM2,113 g,19.03333,81.89167
Erevan,1911,Armenia,Howardite,107.2 g,40.3,44.5
Ergheo,1889,"Shabeellaha Hoose, Somalia",L5,20 kg,1.16667,44.16667
Ermendorf,1677,"Sachsen, Germany",Doubtful stone,,51.3,13.55
Erxleben,1812,"Sachsen-Anhalt, Germany",H6,2.25 kg,52.21667,11.25
Esnandes,1837,"Poitou-Charentes, France",L6,1500 g,46.25,-1.1
Essebi,1957,"Haut-Zaire, Congo - Dem. Rep.",C2-ung,500 g,2.88333,30.83333
Estherville,1879,"Iowa, USA",Mesosiderite-A3/4,320 kg,43.41667,-94.83333
Fabriano,1776,"Marche, Italy",Doubtful stone,,43.31667,12.93333
Farmington,1890,"Kansas, USA",L5,89.4 kg,39.75,-97.03333
Farmville,1934,"North Carolina, USA",H4,56 kg,35.55,-77.53333
Favars,1844,"Midi-Pyrenees, France",H5,1500 g,44.38333,2.81667
Fayetteville,1934,"Arkansas, USA",H4,2.36 kg,36.05,-94.16667
Feid Chair,1875,"El Tarf, Algeria",H4,380 g,36.88333,8.45
Felix,1900,"Alabama, USA",CO3.3,3.2 kg,32.53333,-87.16667
Fenghsien-Ku,1924,"Jiangsu, China",H5,82 g,34.6,116.75
Ferguson,1889,"North Carolina, USA",OC,220 g,36.1,-81.41667
