Name,Fall,Year,Place,Type,Mass,Lat, Long,
Dhofar 1163,FALSE,1880,Oman,Unknown,,-84.27391,161.377,
Northwest Africa 1376,FALSE,1824,(Northwest Africa),Unknown,52 g,-84.26649,161.41164,
Northwest Africa 1870,FALSE,1808,(Northwest Africa),Unknown,147.3 g,-84.25676,161.41325,
Northwest Africa 598,FALSE,1859,(Northwest Africa),Unknown,252 g,-84.2466,161.40761,
Jiddat al Harasis 737,FALSE,1902,"Al Wusta, Oman",L5,1137 g,-84.24101,161.45556,
Northwest Africa 1349,FALSE,1809,(Northwest Africa),Unknown,52 g,-84,168,
Loch Tay,TRUE,1802,"Scotland, UK",Doubtful meteorite,,-86.71667,-141.5,
Northwest Africa 5520,FALSE,1979,(Northwest Africa),Unknown,30 g,-86.71667,-141.5,
Dhofar 986,FALSE,1950,Oman,Unknown,,-85.66681,-69.02116,
Dhofar 585,FALSE,1862,Oman,Unknown,,-85.07424,-64.46576,
Northwest Africa 2101,FALSE,1968,(Northwest Africa),Unknown,,-84.2706,161.43441,
Northwest Africa 2116,FALSE,1983,(Northwest Africa),Unknown,,-84.25204,161.3893,
Dhofar 887,FALSE,1823,Oman,Unknown,,-76.28314,156.43256,
Northwest Africa 5361,FALSE,1844,(Northwest Africa),Unknown,7 kg,-72.78111,75.30833,
Apt,TRUE,1803,"Provence-Alpes-Cote d'Azur, France",L6,3.2 kg,-86.71667,-141.5,
East Norton,TRUE,1803,"England, UK",Doubtful meteorite,,-86.71667,-141.5,
L'Aigle,TRUE,1803,"Basse-Normandie, France",L6,37 kg,-86.71667,-141.5,
M_ssing,TRUE,1803,"Bayern, Germany",Howardite,1600 g,-86.71667,-141.5,
Northwest Africa 5369,FALSE,1954,(Northwest Africa),Unknown,40 kg,-86.45,-165.43333,
Northwest Africa 1191,FALSE,1865,(Northwest Africa),Unknown,2.65 kg,-86.36667,-70,
Northwest Africa 561,FALSE,1941,(Northwest Africa),Unknown,41.5 g,-85.69048,-68.91223,
Northwest Africa 5756,FALSE,1905,(Northwest Africa),Unknown,40 g,-84.96612,-67.50071,
Northwest Africa 204,FALSE,1975,(Northwest Africa),Unknown,46 g,-84.57278,162.08628,
Northwest Africa 1353,FALSE,1879,(Northwest Africa),Unknown,16 g,-84.2777,161.35364,
